state,murder,culpable_homicide,dowry_deaths,attempt_murder,kidnapping,rape,assault_women,total_human_body,riots,thefts,extortion,robbery,dacoity,prep_dacoity,criminal_breach,cheating,arson,burglary,total_property,counterfeiting,cruelty_husband,insult_modesty,total_women,convicts_women,other_ipc,total_convicts,year
Andhra Pradesh,1771,58,18,43,46,123,21,2080,0,97,1,23,27,1,3,23,2,13,190,2,40,0,40,202,134,2446,2019
Arunachal Pradesh,22,24,0,0,12,26,4,88,0,20,0,0,0,0,0,0,0,6,26,0,0,0,0,30,19,133,2019
Assam,1914,187,50,118,27,246,8,2550,2,186,4,4,0,0,13,7,5,0,219,2,8,1,9,313,75,2857,2019
Bihar,3907,273,570,913,347,345,28,6383,14,267,48,179,256,27,13,27,18,18,853,10,110,9,119,1062,84,7463,2019
Chhattisgarh,5380,232,64,294,159,933,29,7091,6,40,0,51,140,0,0,11,12,21,275,3,14,2,16,1042,222,7613,2019
Goa,64,5,0,5,1,23,4,102,0,0,0,8,0,0,3,6,0,0,17,0,0,0,0,27,3,122,2019
Gujarat,1888,210,156,308,120,415,4,3101,19,49,22,122,60,40,0,12,11,17,333,6,73,3,76,651,147,3682,2019
Haryana,3052,142,246,525,321,551,73,4910,90,365,29,290,282,136,57,76,44,148,1427,16,42,4,46,916,0,6489,2019
Himachal Pradesh,345,12,0,19,14,139,3,532,0,8,0,4,2,0,1,1,0,0,16,0,7,1,8,150,33,589,2019
Jammu and Kashmir,89,3,0,5,7,48,0,152,0,0,0,0,0,0,0,3,0,3,6,0,0,0,0,48,12,170,2019
Jharkhand,2873,46,495,387,251,600,16,4668,1,141,28,99,241,30,29,37,0,5,610,3,125,0,125,1236,37,5444,2019
Karnataka,2275,62,49,118,108,454,28,3094,6,67,10,65,82,19,3,11,4,88,349,17,105,0,105,636,116,3687,2019
Kerala,1546,106,9,119,48,318,8,2154,32,183,3,195,34,23,12,33,0,99,582,5,12,0,12,347,73,2858,2019
Madhya Pradesh,10863,384,339,1265,577,2808,195,16431,54,227,11,388,387,127,36,134,16,93,1419,29,102,2,104,3446,830,18867,2019
Maharashtra,5190,149,46,326,143,530,129,6513,2,601,10,225,228,77,23,99,11,153,1427,51,37,40,77,782,178,8248,2019
Manipur,30,2,0,1,0,32,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,2,67,2019
Meghalaya,47,7,0,2,3,44,0,103,0,4,0,3,0,0,0,1,0,0,8,0,1,0,1,45,11,123,2019
Mizoram,46,1,0,3,3,129,0,182,0,124,0,0,0,0,2,2,0,35,163,0,0,0,0,129,12,357,2019
Nagaland,36,1,0,4,3,19,4,67,0,31,1,3,2,0,0,0,1,4,42,0,0,0,0,23,3,112,2019
Odisha,2191,56,60,187,65,506,23,3088,7,42,0,54,62,8,8,7,8,10,199,2,28,1,29,618,57,3382,2019
Punjab,1525,208,127,423,263,493,70,3109,14,258,15,69,97,47,71,80,15,65,717,47,47,15,62,752,337,4286,2019
Rajasthan,2615,173,149,249,151,695,25,4057,8,244,16,188,148,25,20,76,8,79,804,16,96,10,106,975,226,5217,2019
Sikkim,30,7,0,2,3,5,10,57,0,5,0,0,0,0,0,1,0,0,6,0,0,0,0,15,81,144,2019
Tamil Nadu,1662,121,63,327,129,228,3,2533,53,414,24,220,154,46,19,67,2,93,1039,4,29,3,32,326,2,3663,2019
Telangana,1287,81,34,83,36,89,9,1619,0,147,0,26,57,14,0,9,0,40,293,0,19,0,19,151,31,1962,2019
Tripura,256,10,9,9,17,117,3,421,3,4,0,1,4,0,0,0,0,1,10,2,23,0,23,152,20,479,2019
Uttar Pradesh,16057,856,2641,1054,782,2161,95,23646,6,782,14,318,256,82,16,57,7,123,1655,35,58,2,60,4957,451,25853,2019
Uttarakhand,1092,44,81,57,75,318,18,1685,0,105,0,22,22,1,9,6,0,20,185,5,5,1,6,423,104,1985,2019
West Bengal,2871,264,109,394,82,525,3,4248,9,53,4,108,129,37,9,58,7,24,429,22,196,0,196,833,32,4936,2019
Andaman and Nicobar Islands,37,3,0,1,0,7,0,48,0,1,0,0,0,0,0,2,1,2,6,0,0,0,0,7,0,54,2019
Chandigarh,82,22,6,6,41,84,8,249,3,23,4,25,11,3,5,3,1,13,88,0,0,0,0,98,0,340,2019
Dadra and Nagar Haveli and Daman and Diu,8,0,0,2,0,4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,15,2019
Delhi,1111,26,56,226,104,446,16,1985,12,122,0,133,233,0,21,85,0,2,596,6,1,69,70,588,27,2696,2019
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
Puducherry,48,3,0,1,0,3,0,55,0,3,0,0,0,0,0,0,1,0,4,0,0,0,0,3,2,61,2019
Andhra Pradesh,1577,33,49,93,58,119,11,1940,0,101,11,43,11,0,1,7,3,17,194,14,10,0,10,189,84,2242,2020
Arunachal Pradesh,29,22,0,0,4,41,1,97,0,7,0,4,0,0,0,0,0,2,13,0,0,0,0,42,8,118,2020
Assam,1836,125,27,130,28,94,9,2249,0,77,9,13,0,0,8,12,10,24,153,15,7,1,8,138,91,2516,2020
Bihar,3574,170,491,853,329,545,5,5967,7,181,6,145,199,25,46,27,9,17,655,16,62,5,67,1108,105,6817,2020
Chhattisgarh,3958,162,74,222,99,844,31,5390,7,22,3,22,81,0,0,7,9,11,155,7,17,0,17,966,80,5656,2020
Goa,56,3,0,5,1,13,2,80,0,0,0,1,0,0,0,2,0,0,3,0,0,0,0,15,0,83,2020
Gujarat,2533,120,26,61,78,496,9,3323,2,13,0,28,48,4,1,0,1,15,110,9,9,0,9,540,73,3526,2020
Haryana,1035,64,126,204,265,425,78,2197,25,188,16,135,147,83,16,30,5,46,666,2,18,0,18,647,0,2908,2020
Himachal Pradesh,326,6,1,8,3,131,2,477,0,14,0,4,0,0,1,1,0,0,20,0,5,0,5,139,29,531,2020
Jharkhand,2797,58,382,178,173,665,41,4294,1,48,32,28,102,21,9,4,0,2,246,3,105,3,108,1196,36,4688,2020
Karnataka,2127,47,20,174,111,500,11,2990,0,35,13,55,109,15,2,9,0,100,338,16,60,1,61,592,96,3501,2020
Kerala,1224,59,3,73,45,239,6,1649,12,159,0,143,21,17,4,27,1,52,424,7,18,0,18,266,49,2159,2020
Madhya Pradesh,6108,240,311,611,575,2383,168,10396,13,151,26,334,242,157,38,121,11,51,1131,41,82,0,82,2944,495,12158,2020
Maharashtra,3041,141,20,216,59,620,82,4179,0,277,25,105,107,64,13,109,0,116,816,10,28,21,49,771,119,5173,2020
Manipur,30,2,0,0,0,52,0,84,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,52,1,86,2020
Meghalaya,50,6,0,0,2,43,0,101,0,2,0,0,0,0,0,0,1,0,3,0,0,1,1,44,3,108,2020
Mizoram,55,9,0,3,9,43,1,120,0,85,1,27,0,0,22,0,0,32,167,11,6,0,6,50,14,318,2020
Nagaland,29,0,0,4,2,29,1,65,0,13,1,1,2,0,0,0,0,3,20,0,0,0,0,30,1,86,2020
Odisha,2066,44,38,70,44,522,10,2794,0,27,0,36,40,2,8,4,4,7,128,0,4,0,4,574,39,2965,2020
Punjab,614,32,18,199,88,233,6,1190,0,143,16,18,25,23,20,47,0,24,316,4,5,0,5,262,104,1619,2020
