Year,State_UT,Row_Type,Total_Convicts,Murder,Rape,Thefts,Kidnapping_Abduction,Robbery,Burglary,Dacoity,Cruelty_Husband,Attempt_Murder,Total_Women_Convicts,Arson,Riots
2019,ANDHRA PRADESH,State,2446,1771,123,97,46,23,13,27,40,43,202,2,0
2019,ARUNACHAL PRADESH,State,133,22,26,20,12,0,6,0,0,0,30,0,0
2019,ASSAM,State,2857,1914,246,186,27,4,0,0,8,118,313,5,2
2019,BIHAR,State,7463,3907,345,267,347,179,18,256,110,913,1062,18,14
2019,CHHATTISGARH,State,7613,5380,933,40,159,51,21,140,14,294,1042,12,6
2019,GOA,State,122,64,23,0,1,8,0,0,0,5,27,0,0
2019,GUJARAT,State,3682,1888,415,49,120,122,17,60,73,308,651,11,19
2019,HARYANA,State,6489,3052,551,365,321,290,148,282,42,525,916,44,90
2019,HIMACHAL PRADESH,State,589,345,139,8,14,4,0,2,7,19,150,0,0
2019,JHARKHAND,State,5444,2873,600,141,251,99,5,241,125,387,1236,0,1
2019,KARNATAKA,State,3687,2275,454,67,108,65,88,82,105,118,636,4,6
2019,KERALA,State,2858,1546,318,183,48,195,99,34,12,119,347,0,32
2019,MADHYA PRADESH,State,18867,10863,2808,227,577,388,93,387,102,1265,3446,16,54
2019,MAHARASHTRA,State,8248,5190,530,601,143,225,153,228,37,326,782,11,2
2019,MANIPUR,State,67,30,32,0,0,0,0,0,0,1,32,0,0
2019,MEGHALAYA,State,123,47,44,4,3,3,0,0,1,2,45,0,0
2019,MIZORAM,State,357,46,129,124,3,0,35,0,0,3,129,0,0
2019,NAGALAND,State,112,36,19,31,3,3,4,2,0,4,23,1,0
2019,ODISHA,State,3382,2191,506,42,65,54,10,62,28,187,618,8,7
2019,PUNJAB,State,4286,1525,493,258,263,69,65,97,47,423,752,15,14
2019,RAJASTHAN,State,5217,2615,695,244,151,188,79,148,96,249,975,8,8
2019,SIKKIM,State,144,30,5,5,3,0,0,0,0,2,15,0,0
2019,TAMIL NADU,State,3663,1662,228,414,129,220,93,154,29,327,326,2,53
2019,TELANGANA,State,1962,1287,89,147,36,26,40,57,19,83,151,0,0
2019,TRIPURA,State,479,256,117,4,17,1,1,4,23,9,152,0,3
2019,UTTAR PRADESH,State,25853,16057,2161,782,782,318,123,256,58,1054,4957,7,6
2019,UTTARAKHAND,State,1985,1092,318,105,75,22,20,22,5,57,423,0,0
2019,WEST BENGAL,State,4936,2871,525,53,82,108,24,129,196,394,833,7,9
2020,ANDHRA PRADESH,State,2242,1577,119,101,58,43,17,11,10,93,189,3,0
2020,ARUNACHAL PRADESH,State,118,29,41,7,4,4,2,0,0,0,42,0,0
2020,ASSAM,State,2516,1836,94,77,28,13,24,0,7,130,138,10,0
2020,BIHAR,State,6817,3574,545,181,329,145,17,199,62,853,1108,9,7
2020,CHHATTISGARH,State,5656,3958,844,22,99,22,11,81,17,222,966,9,7
2020,GOA,State,83,56,13,0,1,1,0,0,0,5,15,0,0
2020,GUJARAT,State,3526,2533,496,13,78,28,15,48,9,61,540,1,2
2020,HARYANA,State,2908,1035,425,188,265,135,46,147,18,204,647,5,25
2020,HIMACHAL PRADESH,State,531,326,131,14,3,4,0,0,5,8,139,0,0
2020,JHARKHAND,State,4688,2797,665,48,173,28,2,102,105,178,1196,0,1
2020,KARNATAKA,State,3501,2127,500,35,111,55,100,109,60,174,592,0,0
2020,KERALA,State,2159,1224,239,159,45,143,52,21,18,73,266,1,12
2020,MADHYA PRADESH,State,12158,6108,2383,151,575,334,51,242,82,611,2944,11,13
