Category,State/UT,Offences affecting the Human Body - Murder (Col. 3),Offences affecting the Human Body - C.H. not amounting to Murder (Col. 4),Offences affecting the Human Body - Dowry Deaths (Col. 5),Offences affecting the Human Body - Attempt to Murder (Col. 6),Offences affecting the Human Body - Kidnapping & Abduction (Col. 7),Offences affecting the Human Body - Rape (Col. 8),Offences affecting the Human Body - Assault on Women with Intent to Outrage her Modesty (Col. 9),Offences affecting the Human Body - Total (Col. 10),Offences against Public Tranquility - Riots (Col. 11),Offences against Property - Thefts (Col. 12),Offences against Property - Extortion (Col. 13),Offences against Property - Robbery (Col. 14),Offences against Property - Dacoity (Col. 15),Offences against Property - Prep. and Assembly for Dacoity (Col. 16),Offences against Property - Criminal Breach of Trust (Col. 17),Offences against Property - Cheating (Col. 18),Offences against Property - Arson (Col. 19),Offences against Property - Burglary (Col. 20),Offences against Property - Total (Col. 21),Offences relating to Documents & Property Marks - Counterfeiting (Col. 22),Other Crime Against Women* - Cruelty by Husband or Relatives of Husband (Col. 23),Other Crime Against Women* - Insult to the Modesty of Women (Col. 24),Other Crime Against Women* - Total (Col. 25),Convicts of offences against women (Total) (Col. 26 = Col. (5+8+9+23+24)),Other IPC Crimes (Col. 27),Total Convicts (IPC Crimes) (Col. 28)
State,ANDHRA PRADESH,1771,58,18,43,46,123,21,2080,0,97,1,23,27,1,3,23,2,13,190,2,40,0,40,202,134,2446
State,ARUNACHAL PRADESH,22,24,0,0,12,26,4,88,0,20,0,0,0,0,0,0,0,6,26,0,0,0,0,30,19,133
State,ASSAM,1914,187,50,118,27,246,8,2550,2,186,4,4,0,0,13,7,5,0,219,2,8,1,9,313,75,2857
State,BIHAR,3907,273,570,913,347,345,28,6383,14,267,48,179,256,27,13,27,18,18,853,10,110,9,119,1062,84,7463
State,CHHATTISGARH,5380,232,64,294,159,933,29,7091,6,40,0,51,140,0,0,11,12,21,275,3,14,2,16,1042,222,7613
State,GOA,64,5,0,5,1,23,4,102,0,0,0,8,0,0,3,6,0,0,17,0,0,0,0,27,3,122
State,GUJARAT,1888,210,156,308,120,415,4,3101,19,49,22,122,60,40,0,12,11,17,333,6,73,3,76,651,147,3682
State,HARYANA,3052,142,246,525,321,551,73,4910,90,365,29,290,282,136,57,76,44,148,1427,16,42,4,46,916,0,6489
State,HIMACHAL PRADESH,345,12,0,19,14,139,3,532,0,8,0,4,2,0,1,1,0,0,16,0,7,1,8,150,33,589
State,JAMMU & KASHMIR,89,3,0,5,7,48,0,152,0,0,0,0,0,0,0,3,0,3,6,0,0,0,0,48,12,170
State,JHARKHAND,2873,46,495,387,251,600,16,4668,1,141,28,99,241,30,29,37,0,5,610,3,125,0,125,1236,37,5444
State,KARNATAKA,2275,62,49,118,108,454,28,3094,6,67,10,65,82,19,3,11,4,88,349,17,105,0,105,636,116,3687
State,KERALA,1546,106,9,119,48,318,8,2154,32,183,3,195,34,23,12,33,0,99,582,5,12,0,12,347,73,2858
State,MADHYA PRADESH,10863,384,339,1265,577,2808,195,16431,54,227,11,388,387,127,36,134,16,93,1419,29,102,2,104,3446,830,18867
State,MAHARASHTRA,5190,149,46,326,143,530,129,6513,2,601,10,225,228,77,23,99,11,153,1427,51,37,40,77,782,178,8248
State,MANIPUR,30,2,0,1,0,32,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,2,67
State,MEGHALAYA,47,7,0,2,3,44,0,103,0,4,0,3,0,0,0,1,0,0,8,0,1,0,1,45,11,123
State,MIZORAM,46,1,0,3,3,129,0,182,0,124,0,0,0,0,2,2,0,35,163,0,0,0,0,129,12,357
State,NAGALAND,36,1,0,4,3,19,4,67,0,31,1,3,2,0,0,0,1,4,42,0,0,0,0,23,3,112
State,ODISHA,2191,56,60,187,65,506,23,3088,7,42,0,54,62,8,8,7,8,10,199,2,28,1,29,618,57,3382
State,PUNJAB,1525,208,127,423,263,493,70,3109,14,258,15,69,97,47,71,80,15,65,717,47,47,15,62,752,337,4286
State,RAJASTHAN,2615,173,149,249,151,695,25,4057,8,244,16,188,148,25,20,76,8,79,804,16,96,10,106,975,226,5217
State,SIKKIM,30,7,0,2,3,5,10,57,0,5,0,0,0,0,0,1,0,0,6,0,0,0,0,15,81,144
State,TAMIL NADU,1662,121,63,327,129,228,3,2533,53,414,24,220,154,46,19,67,2,93,1039,4,29,3,32,326,2,3663
State,TELANGANA,1287,81,34,83,36,89,9,1619,0,147,0,26,57,14,0,9,0,40,293,0,19,0,19,151,31,1962
State,TRIPURA,256,10,9,9,17,117,3,421,3,4,0,1,4,0,0,0,0,1,10,2,23,0,23,152,20,479
State,UTTAR PRADESH,16057,856,2641,1054,782,2161,95,23646,6,782,14,318,256,82,16,57,7,123,1655,35,58,2,60,4957,451,25853
State,UTTARAKHAND,1092,44,81,57,75,318,18,1685,0,105,0,22,22,1,9,6,0,20,185,5,5,1,6,423,104,1985
State,WEST BENGAL,2871,264,109,394,82,525,3,4248,9,53,4,108,129,37,9,58,7,24,429,22,196,0,196,833,32,4936
State,TOTAL (STATES),70924,3724,5315,7240,3793,12920,813,104729,326,4464,240,2665,2670,740,347,844,171,1158,13299,277,1177,94,1271,20319,3332,123234
UT,A & N ISLANDS,37,3,0,1,0,7,0,48,0,1,0,0,0,0,0,2,1,2,6,0,0,0,0,7,0,54
UT,CHANDIGARH,82,22,6,6,41,84,8,249,3,23,4,25,11,3,5,3,1,13,88,0,0,0,0,98,0,340
UT,D & N HAVELI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UT,DAMAN & DIU,8,0,0,2,0,4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,15
UT,DELHI,1111,26,56,226,104,446,16,1985,12,122,0,133,233,0,21,85,0,2,596,6,1,69,70,588,27,2696
UT,LAKSHADWEEP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UT,PUDUCHERRY,48,3,0,1,0,3,0,55,0,3,0,0,0,0,0,0,1,0,4,0,0,0,0,3,2,61
UT,TOTAL (UTs),1286,54,62,236,145,544,24,2351,15,149,4,158,244,3,26,90,3,17,694,6,1,70,71,701,29,3166
TOTAL (ALL-INDIA),TOTAL (ALL-INDIA),72210,3778,5377,7476,3938,13464,837,107080,341,4613,244,2823,2914,743,373,934,174,1175,13993,283,1178,164,1342,21020,3361,126400
