Sl. No. (Col. 1),State/UT (Col. 2),Offences affecting the Human Body - Murder - (Col. 3),Offences affecting the Human Body - C.H. not amounting to Murder - (Col. 4),Offences affecting the Human Body - Dowry Deaths - (Col. 5),Offences affecting the Human Body - Attempt to Murder - (Col. 6),Offences affecting the Human Body - Kidnapping & Abduction - (Col. 7),Offences affecting the Human Body - Rape - (Col. 8),Offences affecting the Human Body - Assault on Women with Intent to Outrage her Modesty - (Col. 9),Total Offences affecting the Human Body - (Col. 10),Offences against Public Tranquility - Riots - (Col. 11),Offences against Property - Thefts - (Col. 12),Offences against Property - Extortion - (Col. 13),Offences against Property - Robbery - (Col. 14,Offences against Property - Dacoity - (Col. 15),Offences against Property - Prep. and Assembly for Dacoity - (Col. 16),Offences against Property - Criminal Breach of Trust - (Col. 17),Offences against Property - Cheating - (Col. 18),Offences against Property - Arson - (Col. 19),Offences against Property - Burglary - (Col. 20),Total Offences against Property - (Col. 21),Offences relating to Documents & Property Marks - Counterfeiting - (Col. 22),Other Crime Against Women - Cruelty by Husband or Relatives of Husband - (Col. 23),Other Crime Against Women - Insult to the Modesty of Women - (Col. 24),Total Other Crime Against Women - (Col. 25),Convicts of offences against women (Total of Col. 5 + Col. 8 + Col. 9 + Col.23 + Col.24) - (Col. 26),Other IPC Crimes - (Col. 27),Total Convicts (IPC Crimes) - (Col. 28)
1,Andhra Pradesh,1577,33,49,93,58,119,11,1940,0,101,11,43,11,0,1,7,3,17,194,14,10,0,10,189,84,2242
2,Arunachal Pradesh,29,22,0,0,4,41,1,97,0,7,0,4,0,0,0,0,0,2,13,0,0,0,0,42,8,118
3,Assam,1836,125,27,130,28,94,9,2249,0,77,9,13,0,0,8,12,10,24,153,15,7,1,8,138,91,2516
4,Bihar,3574,170,491,853,329,545,5,5967,7,181,6,145,199,25,46,27,9,17,655,16,62,5,67,1108,105,6817
5,Chhattisgarh,3958,162,74,222,99,844,31,5390,7,22,3,22,81,0,0,7,9,11,155,7,17,0,17,966,80,5656
6,Goa,56,3,0,5,1,13,2,80,0,0,0,1,0,0,0,2,0,0,3,0,0,0,0,15,0,83
7,Gujarat,2533,120,26,61,78,496,9,3323,2,13,0,28,48,4,1,0,1,15,110,9,9,0,9,540,73,3526
8,Haryana,1035,64,126,204,265,425,78,2197,25,188,16,135,147,83,16,30,5,46,666,2,18,0,18,647,0,2908
9,Himachal Pradesh,326,6,1,8,3,131,2,477,0,14,0,4,0,0,1,1,0,0,20,0,5,0,5,139,29,531
10,Jharkhand,2797,58,382,178,173,665,41,4294,1,48,32,28,102,21,9,4,0,2,246,3,105,3,108,1196,36,4688
11,Karnataka,2127,47,20,174,111,500,11,2990,0,35,13,55,109,15,2,9,0,100,338,16,60,1,61,592,96,3501
12,Kerala,1224,59,3,73,45,239,6,1649,12,159,0,143,21,17,4,27,1,52,424,7,18,0,18,266,49,2159
13,Madhya Pradesh,6108,240,311,611,575,2383,168,10396,13,151,26,334,242,157,38,121,11,51,1131,41,82,0,82,2944,495,12158
14,Maharashtra,3041,141,20,216,59,620,82,4179,0,277,25,105,107,64,13,109,0,116,816,10,28,21,49,771,119,5173
15,Manipur,30,2,0,0,0,52,0,84,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,52,1,86
16,Meghalaya,50,6,0,0,2,43,0,101,0,2,0,0,0,0,0,0,1,0,3,0,0,1,1,44,3,108
17,Mizoram,55,9,0,3,9,43,1,120,0,85,1,27,0,0,22,0,0,32,167,11,6,0,6,50,14,318
18,Nagaland,29,0,0,4,2,29,1,65,0,13,1,1,2,0,0,0,0,3,20,0,0,0,0,30,1,86
19,Odisha,2066,44,38,70,44,522,10,2794,0,27,0,36,40,2,8,4,4,7,128,0,4,0,4,574,39,2965
20,Punjab,614,32,18,199,88,233,6,1190,0,143,16,18,25,23,20,47,0,24,316,4,5,0,5,262,104,1619
21,Rajasthan,2525,52,116,207,100,891,21,3912,13,179,1,102,94,37,6,41,2,36,498,15,50,3,53,1081,78,4569
22,Sikkim,29,4,0,1,0,6,6,46,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,12,74,123
23,Tamil Nadu,1909,169,50,414,173,213,3,2931,26,316,22,129,65,34,8,57,0,89,720,4,39,0,39,305,20,3740
24,Telangana,1200,64,38,50,44,115,10,1521,0,124,5,35,23,4,1,1,0,11,204,0,22,0,22,185,31,1778
25,Tripura,198,10,6,12,10,109,2,347,0,0,0,1,5,0,0,0,0,1,7,0,21,0,21,138,7,382
26,Uttar Pradesh,16194,907,2545,956,656,2052,85,23395,5,532,8,271,267,56,6,46,13,116,1315,43,77,1,78,4760,314,25150
27,Uttarakhand,974,68,70,58,63,278,23,1534,2,50,12,29,25,0,7,9,0,19,151,8,9,0,9,380,58,1762
28,West Bengal,2989,102,128,177,116,483,6,4001,4,11,8,37,107,12,4,4,0,8,191,27,63,4,67,684,172,4462
Total (States),Total (States),59083,2719,4539,4979,3135,12184,630,87269,117,2758,215,1746,1720,554,221,566,69,799,8648,252,717,40,757,18110,2181,99224
29,A & N Islands,37,3,0,1,0,6,0,47,0,1,0,0,0,0,0,2,1,2,6,0,0,0,0,6,0,53
30,Chandigarh,91,18,3,10,27,80,1,230,0,18,1,14,4,0,2,4,0,7,50,0,0,0,0,84,0,280
31,Dadra and Nagar Haveli and Daman and Diu,8,0,0,2,0,4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,14
32,Delhi,515,6,27,100,54,312,11,1025,5,28,0,73,98,1,1,46,0,0,247,4,0,16,16,366,10,1307
33,Jammu & Kashmir,67,4,0,4,1,40,0,116,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,40,4,121
34,Ladakh,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,4
35,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Puducherry,45,2,0,0,2,4,0,53,0,2,0,1,0,0,0,0,0,1,4,0,0,0,0,4,3,60
Total (UTs),Total (UTs),763,33,30,117,84,447,12,1486,5,53,1,88,102,1,3,52,1,10,311,4,0,16,16,505,17,1839
Total (All-India),Total (All-India),59846,2752,4569,5096,3219,12631,642,88755,122,2811,216,1834,1822,555,224,618,70,809,8959,256,717,56,773,18615,2198,101063
