Sl.No.,State/UT,Offences affecting the Human Body - Murder,Offences affecting the Human Body - C.H. not amounting to Murder,Offences affecting the Human Body - Dowry Deaths,Offences affecting the Human Body - Attempt to Murder,Offences affecting the Human Body - Kidnapping & Abduction,Offences affecting the Human Body - Rape,Offences affecting the Human Body - Assault on Women with Intent to Outrage her Modesty,Total Offences affecting the Human Body,Offences against Public Tranquility - Riots,Offences against Property - Thefts,Offences against Property - Extortion,Offences against Property - Robbery,Offences against Property - Dacoity,Offences against Property - Prep. and Assembly for Dacoity,Offences against Property - Criminal Breach of Trust,Offences against Property - Cheating,Offences against Property - Arson,Offences against Property - Burglary,Total Offences against Property,Offences relating to Documents & Property Marks - Counterfeiting,Other Crime Against Women - Cruelty by Husband or Relatives of Husband,Other Crime Against Women - Insult to the Modesty of Women,Total Other Crime Against Women,Convicts of offences against women (Total of column 5+8+9+23+24),Other IPC Crimes,Total Convicts (IPC Crimes)
1,ANDHRA PRADESH,1472,13,27,42,20,120,7,1701,0,117,0,40,28,0,5,14,0,4,208,2,72,0,72,226,18,2001
2,ARUNACHAL PRADESH,33,21,0,2,6,37,2,101,0,6,0,1,0,0,0,0,0,0,7,0,0,0,0,39,13,121
3,ASSAM,1691,92,33,113,24,90,1,2044,0,73,4,5,0,0,13,10,9,19,133,6,6,0,6,130,33,2222
4,BIHAR,3689,182,434,783,239,518,15,5860,14,153,10,116,146,26,16,6,6,20,499,10,60,11,71,1038,15,6469
5,CHHATTISGARH,4635,202,66,346,195,1120,36,6600,1,10,0,93,90,0,10,18,23,27,271,4,31,0,31,1253,174,7081
6,GOA,26,3,0,5,1,11,2,48,0,0,0,1,0,0,0,2,0,0,3,0,0,0,0,13,0,51
7,GUJARAT,2725,191,30,74,81,607,11,3719,1,16,0,59,79,16,3,3,0,15,191,4,19,0,19,667,197,4131
8,HARYANA,2355,168,250,330,305,669,38,4115,15,339,31,202,205,72,24,27,1,60,961,12,24,1,25,982,0,5128
9,HIMACHAL PRADESH,310,4,0,6,0,136,2,458,0,10,0,0,9,0,0,1,0,0,20,0,5,0,5,143,27,510
10,JHARKHAND,2827,75,326,205,128,635,11,4207,11,66,36,36,108,25,26,8,4,10,319,12,121,0,121,1093,40,4710
11,KARNATAKA,2128,84,85,184,79,497,9,3066,12,42,6,54,58,14,3,10,1,46,234,2,30,0,30,621,168,3512
12,KERALA,1256,30,6,88,18,225,10,1633,8,125,0,138,19,16,5,6,0,44,353,4,14,0,14,255,15,2027
13,MADHYA PRADESH,11203,444,225,1002,561,2790,116,16341,50,171,13,382,291,48,39,110,28,52,1134,20,109,1,110,3241,446,18101
14,MAHARASHTRA,2166,141,12,237,57,747,67,3427,0,424,20,114,106,36,5,49,6,82,842,9,18,11,29,855,96,4403
15,MANIPUR,33,0,1,0,0,24,2,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,60
16,MEGHALAYA,57,5,0,1,4,50,2,119,0,0,0,0,0,0,0,0,1,1,2,0,1,0,1,53,7,129
