Sl. No.,State/UT,Offences affecting the Human Body - Murder - Col. (3),Offences affecting the Human Body - C.H. not amounting to Murder - Col. (4),Offences affecting the Human Body - Dowry Deaths - Col. (5),Offences affecting the Human Body - Attempt to Murder - Col. (6),Offences affecting the Human Body - Kidnapping & Abduction - Col. (7),Offences affecting the Human Body - Rape - Col. (8),Offences affecting the Human Body - Assault on Women with Intent to Outrage her Modesty - Col. (9),Total Offences affecting the Human Body - Col. (10),Offences against Public Tranquility - Riots - Col. (11),Offences against Property - Thefts - Col. (12),Offences against Property - Extortion - Col. (13),Offences against Property - Robbery - Col. (14),Offences against Property - Dacoity - Col. (15),Offences against Property - Prep. and Assembly for Dacoity - Col. (16),Offences against Property - Criminal Breach of Trust - Col. (17),Offences against Property - Cheating - Col. (18),Offences against Property - Arson - Col. (19),Offences against Property - Burglary - Col. (20),Total Offences against Property - Col. (21),Offences relating to Documents & Property Marks - Counterfeiting - Col. (22),Other Crime Against Women - Cruelty by Husband or Relatives of Husband - Col. (23),Other Crime Against Women - Insult to the Modesty of Women - Col. (24),Total Other Crime Against Women - Col. (25),Convicts of offences against women (Total of column 5+8+9+23+24) - Col. (26),Other IPC Crimes - Col. (27),Total Convicts (IPC Crimes) - Col. (28)
1,Andhra Pradesh,938,27,33,358,31,103,4,1494,0,109,1,49,37,18,0,9,0,10,233,1,46,0,46,186,51,1825
2,Arunachal Pradesh,39,15,0,1,4,56,0,115,0,8,0,2,0,0,0,0,0,0,10,0,0,0,0,56,11,136
3,Assam,1735,99,20,92,50,249,5,2250,0,29,3,13,6,0,2,1,2,6,62,0,12,0,12,286,81,2405
4,Bihar,3034,154,389,805,289,673,51,5395,4,109,1,90,107,41,2,1,1,29,381,4,63,15,78,1191,46,5908
5,Chhattisgarh,4724,118,40,118,230,1216,53,6499,9,26,7,39,59,10,3,3,6,30,183,19,2,0,2,1311,127,6839
6,Goa,43,4,0,6,2,16,2,73,0,2,0,4,0,0,0,3,0,0,9,0,0,0,0,18,0,82
7,Gujarat,2890,194,11,121,42,891,12,4161,0,5,0,14,58,9,2,0,0,8,96,4,25,0,25,939,296,4582
8,Haryana,2257,91,215,263,261,864,34,3985,14,349,18,229,127,41,7,63,4,41,879,8,16,1,17,1130,230,5133
9,Himachal Pradesh,301,10,2,8,1,168,1,491,0,13,0,4,3,0,0,1,0,2,23,0,8,0,8,179,38,560
10,Jharkhand,2819,42,282,237,110,609,23,4122,5,53,17,23,65,9,9,20,2,1,199,4,49,2,51,965,49,4430
11,Karnataka,1831,78,14,76,76,619,10,2704,2,55,20,44,69,6,8,7,1,67,277,14,31,0,31,674,174,3202
12,Kerala,1535,41,3,121,18,433,28,2179,0,98,3,70,49,4,4,17,1,24,270,9,8,3,11,475,86,2555
13,Madhya Pradesh,10562,397,366,1443,680,3880,139,17467,137,282,51,453,378,123,78,144,33,218,1760,44,119,4,123,4508,772,20303
14,Maharashtra,4533,212,33,435,71,663,101,6048,0,470,16,289,157,63,8,73,7,65,1148,15,24,17,41,838,405,7657
15,Manipur,39,0,0,0,0,14,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,55
16,Meghalaya,61,9,0,5,5,75,3,158,0,2,0,1,0,0,0,0,1,1,5,0,0,0,0,78,13,176
17,Mizoram,47,7,0,1,1,45,1,102,0,111,2,2,0,0,0,5,0,35,155,0,0,0,0,46,43,300
18,Nagaland,12,3,0,26,1,43,2,87,0,27,8,1,1,0,0,0,0,1,38,0,0,0,0,45,11,136
19,Odisha,1615,51,34,84,33,626,7,2450,4,27,1,34,23,6,3,2,3,11,110,3,24,1,25,692,54,2646
20,Punjab,1461,281,75,481,204,699,42,3243,13,279,43,85,86,43,32,38,1,84,691,19,30,0,30,846,157,4153
21,Rajasthan,2047,77,64,454,131,891,5,3669,0,200,5,196,124,41,0,82,3,37,688,27,37,0,37,997,232,4653
22,Sikkim,31,10,0,0,1,6,2,50,0,5,0,0,0,0,0,1,0,0,6,0,0,0,0,8,61,117
23,Tamil Nadu,1889,186,57,380,200,234,14,2960,74,356,28,258,109,39,18,55,28,141,1032,7,60,4,64,369,21,4158
24,Telangana,1157,75,35,49,68,197,20,1601,0,136,19,47,21,6,0,2,0,68,299,2,40,0,40,292,18,1960
25,Tripura,221,13,4,14,3,131,8,394,2,1,0,1,1,1,1,0,0,1,6,0,8,0,8,151,11,421
26,Uttar Pradesh,13779,1336,2091,1292,713,3313,141,22665,13,713,53,526,296,44,18,47,21,101,1819,54,207,1,208,5753,470,25229
27,Uttarakhand,900,47,72,41,42,397,13,1512,8,106,0,26,27,2,3,11,2,13,190,5,6,3,9,491,138,1862
28,West Bengal,2464,118,79,154,129,503,6,3453,13,6,0,54,77,8,2,5,0,0,152,64,58,0,58,646,43,3783
