Sl. No.(Col. 1),State/UT(Col. 2),Offences affecting the Human Body - Murder (Col. 3),Offences affecting the Human Body - C.H. not amounting to Murder (Col. 4),Offences affecting the Human Body - Dowry Deaths (Col. 5),Offences affecting the Human Body - Attempt to Murder (Col. 6),Offences affecting the Human Body - Kidnapping and Abduction (Col. 7),Offences affecting the Human Body - Rape (Col. 8),Offences affecting the Human Body - Assault on Women with Intent to Outrage her Modesty (Col. 9),Total Offences affecting the Human Body (Col. 10),Offences against Public Tranquility - Riots (Col. 11),Offences against Property - Thefts (Col. 12),Offences against Property - Extortion (Col. 13),Offences against Property - Robbery (Col. 14),Offences against Property - Dacoity (Col. 15),Offences against Property - Prep. and Assembly for Dacoity (Col. 16),Offences against Property - Criminal Breach of Trust (Col. 17),Offences against Property - Cheating (Col. 18),Offences against Property - Arson (Col. 19),Offences against Property - Burglary (Col. 20),Total Offences against Property (Col. 21),Offences relating to Documents and Property Marks - Counterfeiting (Col. 22),Other Crime Against Women - Cruelty by Husband or Relatives of Husband (Col. 23),Other Crime Against Women - Insult to the Modesty of Women (Col. 24),Total Other Crime Against Women (Col. 25),Convicts of offences against women (Total of column 5+8+9+23+24) (Col. 26),Other IPC Crimes (Col. 27),Total Convicts (IPC Crimes) (Col. 28)
1,Andhra Pradesh,1406,40,30,34,51,133,12,1706,0,90,7,24,25,1,3,15,2,6,173,7,48,2,50,225,116,2052
2,Arunachal Pradesh,50,16,0,0,5,71,11,153,0,4,0,0,0,0,0,0,0,1,5,0,0,0,0,82,2,160
3,Assam,1811,105,17,82,56,471,19,2561,0,72,2,17,3,1,2,3,8,5,113,0,7,0,7,514,205,2886
4,Bihar,2755,179,369,568,230,615,46,4762,6,87,9,68,89,35,1,0,4,12,305,1,25,5,30,1060,45,5149
5,Chhattisgarh,3809,95,66,150,211,1110,61,5502,0,17,1,94,35,0,1,1,3,14,166,7,2,3,5,1242,138,5818
6,Goa,40,2,0,3,3,10,6,64,0,8,0,4,0,0,0,0,0,0,12,0,0,0,0,16,0,76
7,Gujarat,2782,113,5,143,67,918,22,4050,0,13,1,16,57,11,5,16,0,12,131,13,24,0,24,969,333,4551
8,Haryana,1887,142,178,345,264,970,52,3838,8,302,12,364,278,65,5,31,12,28,1097,54,29,0,29,1229,477,5503
9,Himachal Pradesh,282,4,4,9,7,211,3,520,1,8,1,0,1,0,1,2,0,11,24,0,9,0,9,227,44,598
10,Jharkhand,2878,51,286,338,180,687,8,4428,1,110,18,20,48,11,18,20,0,12,257,4,61,0,61,1042,78,4829
11,Karnataka,1666,98,35,119,85,343,26,2372,48,85,2,48,79,13,3,3,1,37,271,17,76,2,78,482,177,2963
12,Kerala,1523,80,23,156,18,686,17,2503,0,176,0,66,21,3,4,10,0,10,290,9,2,0,2,728,114,2918
13,Madhya Pradesh,11588,257,372,1023,523,4185,179,18127,23,219,5,354,259,109,77,99,23,103,1248,51,107,0,107,4843,744,20300
14,Maharashtra,4210,201,67,361,217,789,108,5953,24,387,29,270,289,79,13,48,23,33,1171,25,45,46,91,1055,217,7481
15,Manipur,39,1,0,0,1,14,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,55
16,Meghalaya,72,10,0,4,6,69,5,166,0,6,0,1,0,0,0,0,2,0,9,0,1,0,1,75,30,206
17,Mizoram,71,6,0,5,0,60,1,143,0,150,1,7,1,1,3,5,1,11,180,0,0,0,0,61,12,335
18,Nagaland,25,1,0,2,0,46,3,77,0,48,4,0,0,0,0,0,0,4,56,0,0,0,0,49,4,137
19,Odisha,1870,71,36,99,25,841,6,2948,4,37,0,29,27,1,4,7,3,12,120,1,21,0,21,904,44,3138
20,Punjab,1539,258,103,359,192,680,45,3176,1,340,39,91,86,66,37,69,0,128,856,18,29,0,29,857,191,4271
21,Rajasthan,1895,86,48,485,133,1035,3,3685,0,199,5,229,106,28,0,66,3,23,659,18,16,2,18,1104,254,4634
22,Sikkim,30,7,0,0,0,6,1,44,0,7,0,0,0,0,0,1,0,0,8,0,0,0,0,7,93,145
23,Tamil Nadu,1851,143,75,428,284,251,10,3042,133,617,35,325,106,48,21,123,21,237,1533,2,82,4,86,422,57,4853
24,Telangana,1055,72,35,50,68,192,15,1487,0,165,17,43,33,6,0,9,0,68,341,0,39,0,39,281,17,1884
25,Tripura,213,6,3,26,4,118,0,370,0,2,1,0,4,2,0,1,0,1,11,0,6,0,6,127,16,403
26,Uttar Pradesh,11737,1473,2034,1482,769,3282,145,20922,44,859,29,305,295,74,19,45,9,190,1825,32,99,3,102,5563,563,23488
27,Uttarakhand,928,43,51,56,36,321,75,1510,0,264,0,29,17,0,12,5,1,14,342,3,28,29,57,504,76,1988
28,West Bengal,2675,71,82,117,82,490,4,3521,0,7,0,3,88,1,5,0,13,0,117,55,17,0,17,593,35,3745
Total (States),Total (States),60687,3631,3919,6444,3517,18604,883,97685,293,4279,218,2407,1947,555,234,579,129,972,11320,317,773,96,869,24275,4082,114566
29,Andaman and Nicobar Islands,24,1,0,0,0,4,0,29,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,31
30,Chandigarh,67,7,1,5,20,65,2,167,0,29,0,12,3,0,0,0,0,0,44,0,1,0,1,69,33,245
31,Dadra and Nagar Haveli and Daman and Diu,3,0,0,1,0,4,1,9,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5,0,10
32,Delhi,658,18,15,141,52,426,10,1320,9,57,4,85,108,26,12,99,0,0,391,3,0,38,38,489,87,1848
33,Jammu and Kashmir,79,1,0,1,0,35,1,117,0,4,0,0,0,0,1,0,0,1,6,0,0,0,0,36,47,170
34,Ladakh,1,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3
35,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Puducherry,45,3,0,0,5,4,0,57,0,15,0,0,0,0,0,5,0,0,20,0,0,0,0,4,8,85
Total (UTs),Total (UTs),877,30,16,148,77,539,14,1701,9,107,4,97,111,26,13,105,0,1,464,3,1,38,39,608,176,2392
Total (All India),Total (All India),61564,3661,3935,6592,3594,19143,897,99386,302,4386,222,2504,2058,581,247,684,129,973,11784,320,774,134,908,24883,4258,116958
